total_panels,num_modules,num_rows,num_panels,row_spacing,gcr,installed_capacity_kW,final_site_kWh_output,final_agricultural_output,percent_change_agricultural_yield,percent_change_electrical_yield,land_efficiency
5700,38,50,3,5,0.221882285714286,4075.5,7342200.74360256,17.5326373803977,0.78621692288779,0.6645000948,1.45071701768779
3762,38,33,3,7.5,0.147921523809524,2689.83,4845852.49077769,18.5272695480599,0.830819262244837,0.438570062568,1.26938932481284
2850,38,25,3,10,0.110941142857143,2037.75,3671100.37180128,19.9306564182494,0.893751408890109,0.3322500474,1.22600145629011
2280,38,20,3,12.5,0.0887529142857143,1630.2,2936880.29744103,20.7811757508866,0.931891289277425,0.26580003792,1.19769132719743
1824,38,16,3,15,0.0739607619047619,1304.16,2349504.23795282,21.7141872634706,0.973730370559218,0.212640030336,1.18637040089522
9500,38,50,5,5,0.369803809523809,6792.5,12237001.2393376,14.0145114390401,0.628453427759645,1.107500158,1.73595358575965
6270,38,33,5,7.5,0.246535873015873,4483.05,8076420.81796282,14.8761652888203,0.667092613848445,0.73095010428,1.39804271812845
4750,38,25,5,10,0.184901904761905,3396.25,6118500.6196688,15.8931491085801,0.712697269443055,0.553750079,1.26644734844306
3800,38,20,5,12.5,0.147921523809524,2717,4894800.49573504,16.5770649737228,0.743366142319408,0.4430000632,1.18636620551941
3040,38,16,5,15,0.123267936507936,2173.6,3915840.39658803,17.8731245325545,0.801485405047285,0.35440005056,1.15588545560728
11400,38,50,6,5,0.443764571428571,8151,14684401.4872051,13.304886438786,0.596631678869328,1.3290001896,1.92563186846933
7524,38,33,6,7.5,0.295843047619048,5379.66,9691704.98155538,13.8524337331895,0.621185369201324,0.877140125136,1.49832549433732
5700,38,25,6,10,0.221882285714286,4075.5,7342200.74360256,14.976862182955,0.671608169639238,0.6645000948,1.33610826443924
4560,38,20,6,12.5,0.177505828571429,3260.4,5873760.59488205,15.4523015930524,0.692928322558403,0.53160007584,1.2245283983984
3648,38,16,6,15,0.147921523809524,2608.32,4699008.47590564,16.6041601454957,0.744581172443754,0.425280060672,1.16986123311575
13300,38,50,7,5,0.517725333333333,9509.5,17131801.7350726,12.6513305363435,0.567324239297917,1.5505002212,2.11782446049792
8778,38,33,7,7.5,0.345150222222222,6276.27,11306989.1451479,13.0748804437481,0.586317508688255,1.023330145992,1.60964765468026
6650,38,25,7,10,0.258862666666667,4754.75,8565900.86753632,13.7276150868291,0.615588120485611,0.7752501106,1.39083823108561
5320,38,20,7,12.5,0.207090133333333,3803.8,6852720.69402906,14.1308776936771,0.633671645456374,0.62020008848,1.25387173393637
4256,38,16,7,15,0.172575111111111,3043.04,5482176.55522325,15.0323235591328,0.674095226866943,0.496160070784,1.17025529765094
7600,38,50,4,5,0.295843047619048,5434,9789600.99147008,15.3509496772896,0.688383393600429,0.8860001264,1.57438352000043
5016,38,33,4,7.5,0.197228698412698,3586.44,6461136.65437025,17.1930449880613,0.770988564487053,0.584760083424,1.35574864791105
3800,38,25,4,10,0.147921523809524,2717,4894800.49573504,17.873998008086,0.801524574353631,0.4430000632,1.24452463755363
3040,38,20,4,12.5,0.118337219047619,2173.6,3915840.39658803,18.6815962969954,0.837739744259883,0.35440005056,1.19213979481988
2432,38,16,4,15,0.0986143492063492,1738.88,3132672.31727043,19.9221311826408,0.893369111329183,0.283520040448,1.17688915177718
