least_shaded ,middle_shaded,most_shaded,crop_protection_temp,crop_protection_eto,no_protect_eto,no_protect_temp
10.99425948,10.93234598,10.93234598,11.1782169,0.093861298,0.093861298,10.09
9.955757262,9.911009682,9.911009682,10.08871127,0.067837633,0.067837633,9.15
9.043768625,9.00835817,9.00835817,9.148980169,0.053682489,0.053682489,8.59
8.483141757,8.447522348,8.447522348,8.588974145,0.053999265,0.053999265,8.26
8.144507382,8.106009849,8.106009849,8.258891252,0.05836252,0.05836252,7.81
7.691046997,7.651396004,7.651396004,7.808858027,0.060111173,0.060111173,7.28
7.16211393,7.122818583,7.122818583,7.278868264,0.059572011,0.059572011,6.75
6.639239268,6.602319036,6.602319036,6.748936661,0.055971321,0.055971321,6.33
6.223468414,6.187957898,6.187957898,6.328977257,0.053834181,0.053834181,6.03
5.924284504,5.88904602,5.88904602,6.028985088,0.05342178,0.05342178,5.85
5.742258238,5.706344333,5.706344333,5.848965634,0.054445723,0.054445723,5.71
5.601291346,5.565055144,5.565055144,5.70895635,0.054934327,0.054934327,5.71
5.643896511,5.62186203,5.62186203,5.709365359,0.033404421,0.033404421,5.88
6.04014396,5.953601752,5.912486352,6.050469207,0.037146688,0.038799584,7.36
8.196158012,7.896478054,7.726733584,8.062467285,0.065897787,0.073001878,9.76
10.15681723,9.896262843,9.7812537,10.23297777,0.132027843,0.137419428,11.46
12.62140495,12.10134443,11.83593817,12.53431599,0.181718822,0.194545862,12.88
14.69648755,13.96297068,13.5711947,14.42914352,0.216377586,0.235776959,14.07
14.54845019,14.16362825,14.00480836,14.70610725,0.221813823,0.230822542,15
15.68319286,15.2232919,15.02269916,15.7942349,0.24116788,0.252888964,15.61
16.4088368,15.8986122,15.67213206,16.49899139,0.259102587,0.272557422,15.65
15.61336524,15.33022073,15.25135172,15.96223676,0.250242579,0.255182451,14.42
14.02594656,13.89459539,13.89459539,14.41621714,0.199129251,0.199129251,12.83
12.51152998,12.40537329,12.40537329,12.82694272,0.160934252,0.160934252,12.12
11.81773899,11.71698531,11.71698531,12.11709832,0.152743256,0.152743256,11.67
11.38889208,11.29518944,11.29518944,11.66730138,0.142053842,0.142053842,11.34
11.07621749,10.98828998,10.98828998,11.3374677,0.133298695,0.133298695,10.44
10.22982178,10.15976237,10.15976237,10.43798229,0.106210538,0.106210538,9.63
9.477065481,9.42608731,9.42608731,9.628531825,0.077283252,0.077283252,8.95
8.843369243,8.807825661,8.807825661,8.948976333,0.05388431,0.05388431,8.62
8.532128881,8.502838513,8.502838513,8.619156422,0.044404396,0.044404396,8.15
8.07362377,8.048165034,8.048165034,8.149266768,0.038595616,0.038595616,7.91
7.839341998,7.815789338,7.815789338,7.90932166,0.035705991,0.035705991,7.85
7.782157377,7.759543178,7.759543178,7.849348687,0.034283279,0.034283279,7.74
7.674441238,7.652588326,7.652588326,7.739370611,0.033129163,0.033129163,7.55
7.485101999,7.463469341,7.463469341,7.549376952,0.032795256,0.032795256,7.45
7.379062506,7.355416684,7.355416684,7.449318972,0.035847226,0.035847226,7.51
7.668029765,7.58044981,7.539283392,7.680441345,0.038614299,0.040442347,9.09
9.534986226,9.348943469,9.250919493,9.494647481,0.057930017,0.062588768,12
12.51009491,12.22941912,12.09762267,12.53651396,0.124761718,0.131824474,14
14.58083614,14.22474625,14.06424786,14.64334583,0.174503412,0.183798255,15.39
15.86840329,15.49357073,15.33777574,16.00722706,0.21448469,0.224041053,16.34
16.80517402,16.39835677,16.23465201,16.98199291,0.245721472,0.256108325,16.96
17.35064074,16.93779233,16.77967976,17.57620953,0.268047582,0.278328571,17.27
17.39025308,17.0321432,16.91633073,17.72112797,0.281020051,0.288737813,17.15
16.99979443,16.71912042,16.65209872,17.41106869,0.273908456,0.278437348,16.07
15.607218,15.45295731,15.45295731,16.06555736,0.233860246,0.233860246,13.98
13.61826767,13.49769021,13.49769021,13.97652741,0.182796241,0.182796241,12.14
11.86067731,11.76756973,11.76756973,12.13731853,0.141151709,0.141151709,11.27
11.02232991,10.93977321,10.93977321,11.26762238,0.125156516,0.125156516,10.52
10.29429365,10.21905819,10.21905819,10.51783322,0.114057455,0.114057455,9.07
8.906502504,8.852003342,8.852003342,9.068430414,0.082621098,0.082621098,7.76
7.647726482,7.610301985,7.610301985,7.75892215,0.056735791,0.056735791,6.78
6.69895807,6.671944106,6.671944106,6.779221962,0.040953353,0.040953353,6.16
6.094730872,6.072974511,6.072974511,6.159373374,0.032982791,0.032982791,5.8
5.740941086,5.721254797,5.721254797,5.799432988,0.029844547,0.029844547,5.67
5.611547805,5.592063756,5.592063756,5.669438811,0.02953795,0.02953795,5.63
5.568288837,5.547718465,5.547718465,5.629407525,0.031184822,0.031184822,5.28
5.223915328,5.205220455,5.205220455,5.279461535,0.028341554,0.028341554,4.72
