time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170311:1300,24.71,44.75,721,639.11,244,331,2.76,290,100093
20170311:1400,24.85,43.9,673,686.23,202,338.8,2.76,289,100024
20170311:1500,24.98,42.7,544,629.19,181,341.2,2.69,286,99995
20170311:1600,24.71,42.7,370,521.7,148,342.6,2.41,282,99965
20170311:1700,23.82,48.45,198,511.41,74,344.2,1.59,258,99965
20170311:1800,22.03,55,0,0,0,348,1.93,221,100005
20170311:1900,19.98,62.5,0,0,0,338.8,2.48,233,100014
20170311:2000,18.55,68.35,0,0,0,333.2,2.34,233,100064
20170311:2100,17.34,73.65,0,0,0,330.4,2.07,230,100093
20170311:2200,16.11,79.95,0,0,0,329.6,1.66,231,100132
20170311:2300,15.62,80.25,0,0,0,323.4,1.38,244,100142
20170312:0000,15.42,78.9,0,0,0,316.6,1.24,266,100132
20170312:0100,15.04,79.3,0,0,0,310.85,1.17,288,100113
20170312:0200,13.44,84.55,0,0,0,306.8,1.38,314,100064
20170312:0300,11.77,89.25,0,0,0,301.8,1.79,331,100054
20170312:0400,11.21,89.6,0,0,0,300.2,1.72,353,100054
20170312:0500,11.28,87.8,0,0,0,299,1.52,17,100064
20170312:0600,11.03,87.65,0,0,0,297.2,1.45,15,100113
20170312:0700,11.28,86.65,56,275.25,30,289,1.31,35,100142
20170312:0800,12.44,86.2,230,412.44,109,288.2,1.03,353,100221
20170312:0900,15.39,68.15,441,661.82,130,288.4,2.55,345,100290
20170312:1000,16.43,60.65,613,766.28,144,294.4,3.03,347,100260
20170312:1100,17.9,52.8,732,811.15,156,296.2,3.66,347,100299
20170312:1200,19.44,46.1,759,724.87,210,300.8,3.72,350,100260
20170312:1300,20.85,42,768,780.64,182,306.4,3.79,347,100181
20170312:1400,21.77,38.9,708,802.41,154,309.4,3.72,339,100073
20170312:1500,22.12,36.45,583,780.03,130,308.6,3.93,326,100005
20170312:1600,21.84,35.35,402,673.48,113,307.4,4.28,316,99965
20170312:1700,20.78,37.6,203,524.69,74,306.2,4.41,315,99956
20170312:1800,19.02,40.65,11,23,10,302.4,4.48,323,99975
20170312:1900,17.55,40.45,0,0,0,298.8,4.62,322,100073
20170312:2000,16.36,41.15,0,0,0,300.2,4.55,328,100152
20170312:2100,15.39,41.05,0,0,0,297.4,4.34,333,100181
20170312:2200,14.37,41,0,0,0,281.4,4.21,335,100191
20170312:2300,13.49,41.25,0,0,0,278.8,4.14,335,100172
20170313:0000,12.69,41.65,0,0,0,278.8,4.07,337,100201
20170313:0100,11.84,42.65,0,0,0,278.4,3.93,340,100172
20170313:0200,11.17,44.45,0,0,0,277.8,3.79,347,100152
20170313:0300,10.66,46.3,0,0,0,278.6,3.66,353,100113
20170313:0400,10.35,47.55,0,0,0,287.2,3.72,357,100083
20170313:0500,9.71,49.4,0,0,0,264.4,3.72,358,100093
20170313:0600,9.22,50.65,0,0,0,261.2,3.66,360,100113
20170313:0700,9,52,41,70.29,34,258.4,3.59,4,100152
20170313:0800,9.72,52.9,113,16.75,108,267.2,3.17,9,100201
20170313:0900,9.99,53.9,208,23.16,197,282.8,4.69,14,100250
20170313:1000,9.78,60.1,470,283.64,295,309,4.21,10,100240
20170313:1100,10.66,57.2,256,2.8,254,309,5.1,6,100201
20170313:1200,12.03,52.25,311,9.19,304,319.6,6.48,10,100132
20170313:1300,12.37,52,157,0,157,337,6.55,19,100064
20170313:1400,12.66,52.45,202,0,202,343.8,5.93,28,100024
20170313:1500,12.78,54.35,84,0,84,351,5.86,29,99985
20170313:1600,12.33,61,123,0,123,344.2,5.59,28,99995
20170313:1700,11.47,73.1,100,24.07,94,328.6,3.86,25,100044
20170313:1800,10.39,85.55,10,0,10,341.8,2.55,8,100024
20170313:1900,10.52,87.85,0,0,0,347,3.03,349,99985
20170313:2000,10.64,88.95,0,0,0,346.6,4.14,3,99956
20170313:2100,11.12,86.85,0,0,0,351.8,5.38,23,99936
20170313:2200,11.12,83.6,0,0,0,349,5.45,39,99906
20170313:2300,10.95,81.3,0,0,0,340.8,4.9,52,99887
20170314:0000,10.39,79.8,0,0,0,314.6,4.21,61,99906
20170314:0100,9.87,78.95,0,0,0,302.4,3.79,62,99975
20170314:0200,9.54,78.05,0,0,0,301,3.66,61,99985
20170314:0300,9.46,76.55,0,0,0,310.8,3.66,60,99946
20170314:0400,9.24,76.6,0,0,0,303,3.72,55,99965
20170314:0500,9.06,76.4,0,0,0,298,3.79,55,99975
20170314:0600,8.9,75.85,0,0,0,293.8,3.59,56,100024
20170314:0700,9.27,76.25,26,9.55,25,303,3.72,55,100103
20170314:0800,10.18,74.15,135,39.52,123,301.4,3.45,53,100152
20170314:0900,11.48,67.7,151,2.08,150,308.4,4.55,58,100181
20170314:1000,11.78,67.85,140,0,140,328.2,4.41,54,100211
20170314:1100,12.06,69.8,178,0,178,347.2,4.48,59,100240
20170314:1200,12.29,72.9,313,9.13,306,344.2,4.34,58,100191
20170314:1300,12.4,73.55,343,19.76,328,350.8,4.14,54,100152
20170314:1400,12.38,76.6,118,0,118,350.8,3.79,47,100191
20170314:1500,12.06,81.55,71,0,71,352.6,2.76,38,100181
20170314:1600,12.68,75.05,223,59.61,197,353.6,2.62,37,100162
20170314:1700,12.87,75.6,119,59.39,104,344.6,1.72,29,100191
20170314:1800,12.8,76.5,13,20.03,12,328.8,0.9,33,100201
20170314:1900,11.66,84.35,0,0,0,305.4,0.69,24,100191
20170314:2000,11.31,82.05,0,0,0,299.8,0.48,53,100191
20170314:2100,9.58,88.65,0,0,0,291.6,1.1,98,100201
20170314:2200,7.84,93.7,0,0,0,286.2,1.59,121,100231
20170314:2300,7.3,94.9,0,0,0,289.4,1.52,116,100191
20170315:0000,7.01,95.3,0,0,0,292.2,1.38,92,100172
20170315:0100,7.13,93.9,0,0,0,299.4,1.66,75,100142
20170315:0200,7.58,91.9,0,0,0,307.8,1.86,75,100123
20170315:0300,8,90,0,0,0,317.4,1.79,85,100064
20170315:0400,7.82,88.7,0,0,0,306.6,1.86,92,100064
20170315:0500,7.91,86.3,0,0,0,310,1.93,83,100044
20170315:0600,8.39,81.9,0,0,0,318.8,2,78,100054
20170315:0700,7.59,92.55,31,9.1,30,307.2,1.45,104,100083
20170315:0800,9.6,89.8,245,424.25,114,308.2,1.17,87,100142
20170315:0900,13.6,70.05,447,618.44,147,305.4,1.31,61,100132
20170315:1000,15.88,58.45,602,662.07,187,299.4,1.93,53,100152
20170315:1100,17.87,50.7,764,878.09,128,302.6,2.21,58,100103
20170315:1200,19.39,45.25,847,996.24,79,306.6,2.34,69,100054
20170315:1300,20.5,40.9,791,814.75,169,316,2.48,81,99975
20170315:1400,21.12,38.1,737,869.88,126,309.6,2.48,88,99936
20170315:1500,21.37,37.3,582,728.08,151,314.6,2.28,95,99906
20170315:1600,21.16,37.7,236,75.06,203,313.8,2,116,99916
20170315:1700,20.29,41.15,167,226.66,109,306.8,1.86,160,99887
20170315:1800,18.1,47.3,16,37.64,14,304.6,2.55,176,99946
20170315:1900,15.48,54.05,0,0,0,304.4,2.48,160,99995
20170315:2000,14.17,56.95,0,0,0,302.4,2.34,144,100024
20170315:2100,13.16,59.7,0,0,0,294.6,2.14,121,100083
20170315:2200,12.22,60.2,0,0,0,293.6,2.34,94,100083
20170315:2300,11.28,61.4,0,0,0,284.2,2.48,82,100064
20170316:0000,10.35,64.05,0,0,0,278.8,2.34,66,100024
20170316:0100,9.23,70,0,0,0,276.4,2.07,56,100014
20170316:0200,8.35,74,0,0,0,277,2.07,55,99965
20170316:0300,7.78,76.1,0,0,0,276.2,2.21,56,99936
20170316:0400,7.33,77.5,0,0,0,272.8,2.28,57,99916
20170316:0500,7.21,77.2,0,0,0,274.2,2.41,59,99906
20170316:0600,7.28,75.95,0,0,0,278,2.48,60,99926
20170316:0700,7.79,76.6,29,0,29,280.2,2.48,56,99965
20170316:0800,10.07,72.25,254,455.52,111,278,2.21,50,99975
20170316:0900,13.57,56.9,251,55.09,224,283.6,2.76,48,99965
20170316:1000,15.76,50.35,611,677.52,183,287.4,2.76,59,99956
20170316:1100,17.51,47,724,714.69,203,297.8,2.9,94,99965
20170316:1200,18.72,44.95,734,594.58,273,308,3.31,112,99936
20170316:1300,19.67,42.6,704,531.53,296,319,4,121,99906
20170316:1400,19.99,41.6,362,43.89,331,309,4.55,126,99838
20170316:1500,19.72,41.7,360,109.13,295,323.6,4.41,129,99808
20170316:1600,19.44,40.95,153,4.51,151,312,4.07,129,99759
20170316:1700,18.75,41.65,88,7.72,86,312.8,3.1,129,99749
20170316:1800,17.47,44.35,8,0,8,309.4,2.48,122,99730
20170316:1900,15.65,50.65,0,0,0,301.8,2.28,110,99769
20170316:2000,14.23,55.05,0,0,0,295.4,2,96,99788
20170316:2100,12.84,59.9,0,0,0,298.6,2.07,78,99818
20170316:2200,11.48,62.5,0,0,0,287.6,2.21,79,99828
20170316:2300,10.59,64,0,0,0,288.4,2.14,82,99818
20170317:0000,9.85,64.8,0,0,0,287,2.14,74,99788
20170317:0100,9.13,66.45,0,0,0,283.4,2.14,60,99788
20170317:0200,8.63,69.7,0,0,0,286.6,1.93,37,99779
20170317:0300,8.33,72.55,0,0,0,286.4,1.79,25,99788
20170317:0400,8.44,73.9,0,0,0,297,1.52,29,99828
20170317:0500,8.66,74.15,0,0,0,302.4,1.31,45,99867
20170317:0600,8.27,77.2,0,0,0,299.4,1.38,75,99877
20170317:0700,7.94,78.5,15,0,15,295.8,2,57,99906
20170317:0800,10.22,74.35,41,0,41,303.6,1.86,57,99946
20170317:0900,13.46,59.55,285,96.93,237,302.6,2.41,51,99965
20170317:1000,15.62,52.8,627,717.89,170,313,2.76,55,99985
20170317:1100,17.76,47.3,717,673.35,223,308,3.17,79,99985
20170317:1200,19.09,45.7,463,89.77,393,319.8,3.66,94,99916
20170317:1300,20.06,43.95,567,229.35,390,320.2,3.72,98,99867
20170317:1400,20.73,42.3,662,575.91,253,316.8,3.72,100,99808
20170317:1500,21,41.2,554,587.38,202,316.6,3.59,101,99788
20170317:1600,20.92,40.45,426,709.88,109,317.8,3.24,102,99769
20170317:1700,20.42,41.1,122,53.35,108,311.4,2.76,105,99808
20170317:1800,19.04,45.35,17,33.62,15,307.2,2,107,99828
20170317:1900,16.62,52.15,0,0,0,298.6,2,117,99897
20170317:2000,14.52,61.4,0,0,0,296.6,1.93,107,99946
20170317:2100,12.74,67.65,0,0,0,291.8,2,106,100005
20170317:2200,11.44,72,0,0,0,290.2,2.07,102,100014
20170317:2300,10.57,74.5,0,0,0,289.8,2.14,96,100044
20170318:0000,9.87,76.25,0,0,0,286.2,2.21,93,100044
20170318:0100,9.35,77.35,0,0,0,285.8,2.14,90,100044
20170318:0200,8.86,78.3,0,0,0,283,2.14,84,100044
20170318:0300,8.41,79.35,0,0,0,282,2.14,78,100034
20170318:0400,8.03,80.5,0,0,0,281,2.21,76,100034
20170318:0500,7.77,81.25,0,0,0,280.2,2.28,74,100044
20170318:0600,7.64,81.45,0,0,0,279,2.41,72,100073
20170318:0700,7.8,83.95,75,247.08,44,279.6,2.34,76,100093
20170318:0800,11.17,75.65,272,508.9,107,281.6,2.14,67,100142
20170318:0900,15.65,57.95,472,663.71,140,286.6,2.48,59,100142
20170318:1000,18.33,48.8,646,777.94,147,295,2.9,61,100162
20170318:1100,20.18,42.35,772,850.63,144,302,2.97,70,100152
20170318:1200,21.44,38.9,824,853.19,155,308.8,2.83,77,100123
20170318:1300,22.21,36.05,814,850.69,154,313.4,2.83,84,100044
20170318:1400,22.65,34.6,739,824.91,150,316.2,2.76,84,99975
20170318:1500,22.7,34.2,598,746.44,148,320.4,2.69,82,99936
20170318:1600,22.49,34.4,411,611.19,136,320.6,2.62,83,99897
20170318:1700,21.84,36.65,208,425.32,95,316.4,2.07,91,99926
20170318:1800,20.3,43.7,24,79.83,19,309.6,1.66,111,99946
20170318:1900,17.7,51,0,0,0,301.6,2,132,99995
20170318:2000,15.3,55.95,0,0,0,296.2,2.48,131,100044
20170318:2100,13.95,57.7,0,0,0,292,2.69,128,100093
20170318:2200,13.15,56.45,0,0,0,289.6,2.69,128,100142
20170318:2300,12.5,55.55,0,0,0,287.2,2.48,133,100152
20170319:0000,11.56,59.4,0,0,0,284.8,2.07,137,100132
20170319:0100,11.51,58.8,0,0,0,282.8,1.31,118,100123
20170319:0200,10.3,63.15,0,0,0,280.8,1.45,74,100103
20170319:0300,8.81,69.4,0,0,0,278.4,1.72,70,100093
20170319:0400,7.93,72.15,0,0,0,275.6,1.93,84,100093
20170319:0500,7.34,72.8,0,0,0,273.6,2.07,98,100093
20170319:0600,6.86,75.1,0,0,0,271.8,2.14,103,100103
20170319:0700,6.65,82.45,81,267.84,46,270.8,1.79,102,100103
20170319:0800,10.52,76.7,285,567.74,98,271.8,1.1,90,100113
20170319:0900,15.73,52.2,488,718.48,125,276.8,0.97,51,100093
20170319:1000,18.42,41.95,659,809.26,136,284.4,1.59,31,100083
20170319:1100,20.28,37.5,773,835.95,152,292.4,1.93,31,100044
20170319:1200,21.59,35.1,811,791.43,187,299.2,2.14,34,100005
20170319:1300,22.5,32.45,814,836,162,305.4,2.21,34,99906
20170319:1400,23.05,30.1,739,810.79,157,309.8,2.07,30,99818
20170319:1500,23.28,28.55,595,718.98,159,312,1.93,21,99749
20170319:1600,23.19,27.9,433,714.76,109,313,1.79,8,99690
20170319:1700,22.63,30.3,205,386.77,101,310.6,1.66,353,99661
20170319:1800,20.77,45.05,19,30.41,17,308.4,1.38,332,99651
20170319:1900,18.57,48.9,0,0,0,306.4,1.52,255,99671
20170319:2000,15.9,54.25,0,0,0,306,2.28,222,99739
20170319:2100,14.32,59.6,0,0,0,301,2.55,212,99749
20170319:2200,13.4,67.75,0,0,0,300.6,2.62,205,99779
20170319:2300,12.66,74.3,0,0,0,295.4,2.62,197,99798
20170320:0000,12.09,77.5,0,0,0,290.2,2.62,193,99779
20170320:0100,11.78,76.45,0,0,0,292.2,2.55,192,99759
20170320:0200,11.53,73.55,0,0,0,295,2.41,193,99739
20170320:0300,11.27,71.55,0,0,0,300.6,2.34,194,99690
20170320:0400,10.79,71.3,0,0,0,293.2,2.34,189,99700
20170320:0500,10.48,71.6,0,0,0,299.8,2.21,182,99710
20170320:0600,9.85,75.45,0,0,0,292.8,2,180,99739
20170320:0700,9.52,78.55,92,353.23,44,286.6,1.86,176,99798
20170320:0800,12.69,75.25,292,582.93,97,284,1.17,186,99857
20170320:0900,16.6,58.1,496,734.96,121,288.6,1.38,207,99867
20170320:1000,18.64,54.85,668,826.33,130,296.4,1.52,228,99916
20170320:1100,20.5,49.8,787,869.65,137,303.6,2.21,247,99926
20170320:1200,21.9,42.65,825,823.72,172,310.6,3.1,252,99936
20170320:1300,22.61,37.4,823,852.12,155,314.2,3.86,252,99906
20170320:1400,22.73,35.8,755,859.24,135,314.6,4.41,249,99867
20170320:1500,22.32,36.7,619,806.65,127,314,4.76,246,99897
20170320:1600,21.4,39.55,432,689.85,117,312.4,4.76,242,99897
20170320:1700,19.92,45.05,230,554.99,79,308.6,4.48,236,99936
20170320:1800,18.08,52.55,29,101.62,22,303.6,3.79,225,99956
20170320:1900,15.83,62.3,0,0,0,296.8,3.38,214,99985
20170320:2000,14.32,70.7,0,0,0,292,3.38,209,100054
20170320:2100,13.28,77.95,0,0,0,290.6,3.38,203,100093
20170320:2200,12.58,84.05,0,0,0,289.6,3.24,197,100191
20170320:2300,12.13,88.5,0,0,0,291.6,3.1,194,100172
20170321:0000,11.81,91.35,0,0,0,290.4,2.97,195,100152
20170321:0100,11.53,93,0,0,0,289.4,2.62,199,100142
20170321:0200,11.24,93.7,0,0,0,290.6,2.34,204,100123
20170321:0300,10.85,93.85,0,0,0,288.2,2.28,209,100123
20170321:0400,10.3,94.3,0,0,0,286.6,2.28,216,100152
20170321:0500,9.78,93.65,0,0,0,283.4,2.48,227,100181
20170321:0600,9.16,92.35,0,0,0,280.8,2.62,233,100260
20170321:0700,8.77,88.55,70,113.39,54,275,2.14,239,100319
20170321:0800,10.1,78.75,169,61.83,148,272.6,2.55,249,100388
20170321:0900,11.75,70.1,401,333.84,229,272.2,2.83,264,100407
20170321:1000,13.22,64.9,586,510.79,251,286,3.03,269,100427
20170321:1100,14.65,59.95,783,839.14,152,301,3.38,274,100437
20170321:1200,15.8,55.2,606,260.98,398,308.6,3.79,276,100398
20170321:1300,16.69,50.6,415,48.23,377,323,4.07,276,100358
20170321:1400,17.57,46.35,268,4.14,265,321.6,4.41,276,100319
20170321:1500,18.05,43.15,358,92.92,301,333.6,4.41,275,100299
20170321:1600,18.01,42.65,190,17.39,182,330.8,4.34,272,100221
20170321:1700,17.59,44.05,112,25.43,105,343.4,4.41,264,100231
20170321:1800,16.14,52.7,22,27.78,20,324.8,4.34,245,100270
20170321:1900,14.92,64.5,0,0,0,360,3.72,238,100290
20170321:2000,14.1,70.3,0,0,0,338,3.38,231,100329
20170321:2100,13.14,76.4,0,0,0,303.4,3.1,230,100378
20170321:2200,12.95,79.5,0,0,0,324.4,2.76,228,100388
20170321:2300,12.58,81.9,0,0,0,317.6,2.34,238,100368
20170322:0000,12.16,80.75,0,0,0,308,2.14,260,100339
20170322:0100,11.28,78,0,0,0,290.4,2.07,279,100329
20170322:0200,10.13,77,0,0,0,277,1.93,289,100299
20170322:0300,8.83,79.5,0,0,0,272.2,1.72,285,100250
20170322:0400,7.76,81.15,0,0,0,264.4,1.66,277,100270
20170322:0500,6.88,82.65,0,0,0,259.2,1.66,266,100250
20170322:0600,6.09,85.2,0,0,0,261.2,1.79,261,100260
20170322:0700,6,87.2,63,61.51,54,262.4,1.66,257,100309
20170322:0800,9.01,75.45,282,458.28,124,260.8,1.72,262,100349
20170322:0900,10.73,67.1,505,726.68,127,269,1.86,285,100329
20170322:1000,12.17,58.6,672,799.28,144,280.8,1.79,279,100339
20170322:1100,13.69,50.45,758,733.69,203,290,2.62,266,100260
20170322:1200,15.11,43.8,504,117.32,410,283.6,4,269,100221
20170322:1300,16.08,39.7,678,412.97,351,316,4.9,267,100103
20170322:1400,16.24,40.1,603,371.77,332,330.4,5.24,262,100005
20170322:1500,15.61,44.85,569,580.37,211,340.8,5.59,256,99926
20170322:1600,14.9,50.55,362,351.93,199,335,5.52,250,99867
20170322:1700,14.43,52.2,189,255.05,118,321,5.72,249,99828
20170322:1800,13.11,61.1,14,0,14,333.2,5.03,251,99818
20170322:1900,11.71,75.85,0,0,0,330.6,4.21,250,99857
20170322:2000,10.92,82.05,0,0,0,325.6,3.45,260,99897
20170322:2100,10.82,79.05,0,0,0,341,3.1,280,99936
20170322:2200,10.23,74.2,0,0,0,317.6,2.83,297,99956
20170322:2300,9.42,72.8,0,0,0,300,2.55,300,99985
20170323:0000,8.36,73.55,0,0,0,272,2.14,297,99995
20170323:0100,7.35,75,0,0,0,258.2,1.93,294,99946
20170323:0200,6.27,77.9,0,0,0,247.2,1.79,288,99916
20170323:0300,5.13,82.15,0,0,0,243.6,1.72,278,99877
20170323:0400,4.21,84.85,0,0,0,242.2,1.79,269,99838
20170323:0500,3.73,85.5,0,0,0,242.4,1.66,252,99818
20170323:0600,3.46,85.25,0,0,0,241.4,1.59,224,99808
20170323:0700,3.3,88.5,106,376.15,49,242.4,1.72,211,99818
20170323:0800,6.81,77.15,322,688.82,81,246.6,1.59,220,99857
20170323:0900,8.68,66.05,534,855.06,85,265.8,2.76,261,99838
20170323:1000,9.77,59.25,599,524.57,250,277.2,3.59,261,99808
20170323:1100,10.85,54.05,711,575.63,273,278.8,4.28,258,99749
20170323:1200,11.8,49.4,613,261.99,402,286.4,4.55,261,99680
20170323:1300,12.77,42.8,754,598.2,278,284.6,4.69,264,99612
20170323:1400,13.56,37,718,685.26,216,284.4,4.69,266,99582
20170323:1500,13.92,34.9,559,533.66,228,270.8,4.69,265,99543
20170323:1600,13.83,35.05,365,351.64,201,278,4.48,262,99504
20170323:1700,13.24,33.25,135,60.39,118,279,4.14,259,99523
20170323:1800,12.45,35.4,42,230.35,24,290,3.45,247,99543
20170323:1900,10.98,42.05,0,0,0,286.6,3.03,258,99602
20170323:2000,9.65,49.75,0,0,0,263.6,2.34,252,99631
20170323:2100,8.56,57.45,0,0,0,258.6,2,237,99700
20170323:2200,7.45,65.9,0,0,0,255.8,1.86,214,99730
20170323:2300,6.34,74.95,0,0,0,259,1.66,198,99730
20170324:0000,5.72,79,0,0,0,262.2,1.52,195,99690
20170324:0100,5.56,80.5,0,0,0,272.2,1.38,201,99612
20170324:0200,5.71,79.4,0,0,0,268.4,1.17,205,99582
20170324:0300,5.56,80.75,0,0,0,273.2,1.17,204,99543
20170324:0400,4.85,83.9,0,0,0,256,1.31,193,99572
20170324:0500,4.55,85.85,0,0,0,264.8,1.31,182,99543
20170324:0600,4.53,85.8,0,0,0,257.6,1.24,173,99602
20170324:0700,4.13,89.9,109,370.04,51,259,0.97,164,99631
20170324:0800,6.7,81.75,321,645.14,92,258.2,0.62,193,99690
20170324:0900,8.65,69.9,527,788.65,109,254.4,0.76,225,99720
20170324:1000,10.16,58.55,682,803.01,144,276.2,1.52,245,99720
20170324:1100,11.04,52.45,685,492.61,308,285.6,2,254,99710
20170324:1200,12.01,47.75,700,426.19,355,281.2,2.41,255,99690
20170324:1300,12.94,42.7,712,477.76,330,272.8,2.97,254,99661
20170324:1400,13.24,39.8,460,118.18,373,279,3.38,253,99621
20170324:1500,13.55,37.4,426,186.02,310,290.6,3.86,252,99592
20170324:1600,13.29,37.05,226,42.59,206,286,4.07,252,99572
20170324:1700,12.67,38.2,235,506.03,91,274.4,3.86,250,99602
20170324:1800,11.68,41.7,30,49.26,26,272.2,3.17,243,99641
20170324:1900,10.63,49.55,0,0,0,269.4,2.69,239,99739
20170324:2000,9.38,58.7,0,0,0,262.8,2.34,219,99798
20170324:2100,8.31,66.8,0,0,0,257,2.28,198,99857
20170324:2200,7.52,73.05,0,0,0,256.6,2.28,191,99877
20170324:2300,6.94,77.65,0,0,0,256.8,2.34,179,99877
20170325:0000,6.83,79.3,0,0,0,265,2.55,169,99838
20170325:0100,6.57,81.3,0,0,0,255.6,2.69,166,99818
20170325:0200,7.11,78.65,0,0,0,285.4,2.69,166,99798
20170325:0300,7.34,77.6,0,0,0,291,2.69,166,99749
20170325:0400,7.4,78.65,0,0,0,296.8,2.83,160,99730
20170325:0500,7.08,81.9,0,0,0,279.8,2.9,160,99749
20170325:0600,7.36,83.35,0,0,0,297,3.24,161,99759
20170325:0700,8.61,83.95,29,0,29,319.4,3.79,169,99808
20170325:0800,9.94,81.15,319,602.72,102,314.6,3.59,173,99828
20170325:0900,11.46,72.4,481,558.98,182,306.2,4.69,183,99857
20170325:1000,12.33,67.25,389,84.49,332,328.4,5.17,193,99877
20170325:1100,13.63,61.7,351,20.79,335,337.4,5.79,201,99877
20170325:1200,14.4,60.8,388,27.04,366,330.4,5.86,205,99828
20170325:1300,15.18,59.6,478,89.62,406,327.2,5.52,205,99788
20170325:1400,14.86,61.45,123,0,123,336.2,5.72,208,99710
20170325:1500,14.71,62.85,432,191.41,312,322.4,4.97,213,99710
20170325:1600,13.27,69.9,182,10.58,177,325,4.9,221,99700
20170325:1700,13.08,73.6,90,3.48,89,332.2,3.79,226,99710
20170325:1800,12.82,74.3,6,0,6,319,3.1,222,99739
20170325:1900,11.03,83.75,0,0,0,300.6,2.83,201,99798
20170325:2000,10.71,85.9,0,0,0,314.8,2.69,191,99838
20170325:2100,10.38,87.1,0,0,0,304,2.62,185,99887
20170325:2200,10.02,87.8,0,0,0,296,2.55,184,99897
20170325:2300,9.97,86.7,0,0,0,310.2,2.48,180,99877
20170326:0000,9.57,86.8,0,0,0,296,2.55,172,99857
20170326:0100,9.62,85.85,0,0,0,311.65,2.48,171,99798
20170326:0200,9.73,85.45,0,0,0,319.8,2.34,168,99769
20170326:0300,9.47,86.65,0,0,0,307.6,2.34,164,99720
20170326:0400,9.23,87.3,0,0,0,302.2,2.41,162,99700
20170326:0500,9.14,87.5,0,0,0,305,2.41,159,99671
20170326:0600,9.09,87.3,0,0,0,309.2,2.41,156,99671
20170326:0700,9.67,87.9,115,335.08,59,306.8,2.69,157,99671
20170326:0800,11.29,83.2,335,676.56,88,310.4,2.28,157,99720
20170326:0900,13.02,71.95,426,346.45,239,328.2,2.9,163,99700
20170326:1000,14.71,58.05,693,806.8,145,315,3.93,173,99661
20170326:1100,16.24,47.7,826,910.85,121,328.8,4.21,175,99612
20170326:1200,17.4,41.2,885,945.43,112,308.2,4.83,178,99523
20170326:1300,18.06,38,872,941.63,112,300.6,5.72,183,99435
20170326:1400,18.34,37,783,881.35,128,310.4,6.28,184,99346
20170326:1500,18.06,38.65,645,829.91,122,327.8,6.28,184,99317
20170326:1600,17.28,42.75,450,687.2,123,346.8,5.86,182,99297
20170326:1700,16.67,45.55,201,264.91,124,320.8,5.86,184,99287
20170326:1800,15.49,50.3,6,0,6,311.2,6.07,196,99425
20170326:1900,11.61,83.15,0,0,0,340,5.38,193,99513
20170326:2000,11.02,85.8,0,0,0,347.8,5.59,186,99572
20170326:2100,11.04,89.95,0,0,0,344.2,5.66,195,99651
20170326:2200,10.53,88,0,0,0,318.4,5.24,214,99818
20170326:2300,9.88,88.45,0,0,0,315.6,4.28,222,99916
20170327:0000,9.78,89.85,0,0,0,317.8,3.31,212,99975
20170327:0100,9.32,90.85,0,0,0,290.8,2.83,202,100014
20170327:0200,8.96,90.75,0,0,0,281.8,2.83,199,100024
20170327:0300,8.9,90.35,0,0,0,283.6,2.83,195,100024
20170327:0400,9.08,89.85,0,0,0,296.4,2.69,189,100034
20170327:0500,9.4,88.8,0,0,0,312.6,2.62,181,100064
20170327:0600,9.61,87.55,0,0,0,311.8,2.83,177,100132
20170327:0700,10.63,88.95,94,145.1,69,334.8,2.62,187,100201
20170327:0800,11.76,86.55,287,372.86,149,346.2,2.41,190,100240
20170327:0900,12.57,84.2,479,516,198,352.4,2.76,201,100319
20170327:1000,13.46,80.6,387,77.51,334,351.4,3.31,211,100368
20170327:1100,14.51,76.75,671,430.43,336,362,3.31,217,100378
20170327:1200,15.77,68.3,786,615.87,280,350.8,3.72,225,100378
20170327:1300,16.44,66.1,746,537.73,310,345.2,3.79,226,100358
20170327:1400,16.87,65.4,673,511.64,291,353.6,3.79,226,100309
20170327:1500,16.93,67.75,506,342.58,289,353.6,3.79,227,100339
20170327:1600,16.63,70.1,282,112.75,228,344.6,3.72,229,100358
20170327:1700,16.02,71.15,207,289.44,122,344.8,3.52,227,100388
20170327:1800,15.26,73.3,21,0,21,327.4,2.97,223,100447
20170327:1900,14.4,76.95,0,0,0,328.8,2.07,234,100506
20170327:2000,13.55,82.4,0,0,0,328.2,1.72,226,100574
20170327:2100,12.5,88.65,0,0,0,312.6,1.52,203,100653
20170327:2200,11.73,92.25,0,0,0,321.8,1.66,181,100702
20170327:2300,10.86,94.2,0,0,0,310.6,1.66,177,100732
20170328:0000,10.23,95.2,0,0,0,306.2,1.45,175,100712
20170328:0100,10.17,94.65,0,0,0,309.2,1.24,162,100712
20170328:0200,9.61,94.9,0,0,0,295.2,1.38,132,100712
20170328:0300,8.69,95.75,0,0,0,290.6,1.59,112,100692
20170328:0400,7.96,96.15,0,0,0,287.4,1.72,106,100702
20170328:0500,7.13,97.7,0,0,0,286,1.72,101,100702
20170328:0600,6.46,99.35,0,0,0,287.2,1.59,94,100702
20170328:0700,8.27,99.15,130,405.75,58,322,1.59,97,100771
20170328:0800,11.52,92.5,346,685.13,89,312.6,1.72,89,100830
20170328:0900,14.22,80.75,552,813.68,105,315.4,1.72,78,100879
20170328:1000,16.47,67.95,722,887.67,111,300.2,1.86,59,100899
