time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160104:2000,15.18,88.1,0,0,0,349.8,5.79,234,99415
20160104:2100,15.04,88.55,0,0,0,346.4,5.66,231,99366
20160104:2200,14.94,89.4,0,0,0,350.4,5.86,225,99307
20160104:2300,15.02,89.7,0,0,0,376,6.14,223,99228
20160105:0000,15,90.55,0,0,0,376.2,6.48,225,99160
20160105:0100,14.78,93.6,0,0,0,383.05,6.62,234,99052
20160105:0200,14.7,95.55,0,0,0,384.2,5.1,254,99022
20160105:0300,14.1,93.3,0,0,0,376.2,4,288,99111
20160105:0400,12.9,90.25,0,0,0,357.6,3.38,308,99228
20160105:0500,11.68,86.75,0,0,0,328.2,3.03,306,99258
20160105:0600,10.9,85.9,0,0,0,320.2,2.62,308,99386
20160105:0700,10.57,87.25,0,0,0,307.6,2.41,284,99513
20160105:0800,9.87,87.5,60,448.07,21,289.4,2.62,285,99631
20160105:0900,10.27,83.5,220,653.59,58,273,2.69,287,99700
20160105:1000,11.12,67.85,371,813.88,65,267.8,3.66,295,99759
20160105:1100,11.85,60.95,448,719.76,115,283.8,4.14,299,99818
20160105:1200,12.63,55.7,432,460.17,201,306.4,4.41,301,99739
20160105:1300,13.07,52.5,114,0,114,319,4.69,298,99710
20160105:1400,13.19,52.55,312,252.72,203,328.8,4.62,287,99651
20160105:1500,12.75,56.4,200,144.12,153,308.2,5.03,277,99661
20160105:1600,11.1,70.7,13,0,13,303.6,3.86,266,99730
20160105:1700,11.06,70,0,0,0,308,3.66,255,99759
20160105:1800,9.53,72,0,0,0,289.2,4.28,281,99808
20160105:1900,9.28,74.1,0,0,0,278,3.52,277,99926
20160105:2000,8.69,72.5,0,0,0,267.4,3.1,275,100034
20160105:2100,8.07,72.65,0,0,0,260.8,2.62,268,100132
20160105:2200,7.37,74.05,0,0,0,252.4,2.34,254,100201
20160105:2300,6.72,75.85,0,0,0,250.4,2.28,238,100270
20160106:0000,6.19,77.7,0,0,0,249.6,2.41,231,100299
20160106:0100,5.79,79.45,0,0,0,249.4,2.41,229,100339
20160106:0200,5.49,81.5,0,0,0,251.4,2.34,226,100329
20160106:0300,5.18,84.4,0,0,0,250.8,2.21,226,100349
20160106:0400,4.78,87.65,0,0,0,251.2,2,226,100378
20160106:0500,4.42,89.8,0,0,0,250.8,1.93,235,100388
20160106:0600,4.48,89.95,0,0,0,251,1.52,254,100407
20160106:0700,4.9,90.15,0,0,0,255.2,1.45,220,100427
20160106:0800,4.37,92.1,59,401.36,24,255,1.59,197,100466
20160106:0900,6.59,90.55,220,644.24,60,257.4,1.03,204,100545
20160106:1000,9.6,78.05,373,827.93,61,266,1.31,221,100614
20160106:1100,11.38,70.4,454,747.98,107,272.8,1.66,237,100653
20160106:1200,12.87,63.1,517,861.74,83,290,2.34,254,100633
20160106:1300,13.57,59.65,357,241.24,238,307.6,3.31,257,100545
20160106:1400,14.05,57.6,435,834.88,73,323.2,3.86,258,100476
20160106:1500,13.76,60.55,295,623.84,90,331,2.76,252,100466
20160106:1600,13.9,60.85,98,107.82,78,335.6,2.76,246,100447
20160106:1700,13.31,65.1,0,0,0,343.8,2.28,229,100466
20160106:1800,12.48,70.5,0,0,0,331.4,2.48,213,100516
20160106:1900,12.29,74.15,0,0,0,325.4,2.97,218,100496
20160106:2000,12.09,76.05,0,0,0,323.8,2.97,221,100565
20160106:2100,11.57,78.8,0,0,0,306,2.9,217,100584
20160106:2200,11.32,79.8,0,0,0,307.4,2.9,214,100574
20160106:2300,11.39,79.4,0,0,0,319.6,2.76,214,100565
20160107:0000,11.23,80.7,0,0,0,313.6,2.55,213,100545
20160107:0100,11.28,81.45,0,0,0,323.25,2.48,210,100525
20160107:0200,11.34,82.2,0,0,0,329,2.41,206,100466
20160107:0300,11.08,84.8,0,0,0,316,2.41,200,100476
20160107:0400,10.86,87.1,0,0,0,312.4,2.41,197,100457
20160107:0500,10.63,88.95,0,0,0,307.2,2.48,194,100447
20160107:0600,10.77,88.8,0,0,0,318.8,2.41,193,100457
20160107:0700,11.89,88.3,0,0,0,350.4,2.62,205,100447
20160107:0800,12.3,86.35,33,45.73,29,355,2.76,205,100457
20160107:0900,13.23,82.85,68,0,68,360.4,2.9,209,100486
20160107:1000,14.18,80.35,157,15.88,151,360.6,2.62,210,100535
20160107:1100,15.33,76.3,235,47.28,213,358.4,2.97,224,100535
20160107:1200,16.28,71,223,19.79,213,358,3.86,248,100437
20160107:1300,16.32,70.35,250,44.41,228,371.2,3.59,251,100349
20160107:1400,16.41,70.35,190,20.64,181,375,3.45,246,100290
20160107:1500,16.04,73.1,96,0,96,374.8,3.24,240,100280
20160107:1600,15.66,76.6,76,26.57,71,380.2,2.62,225,100250
20160107:1700,15.23,79,0,0,0,376.6,2.62,220,100299
20160107:1800,14.79,81.45,0,0,0,374.8,2.55,215,100280
20160107:1900,14.05,86.9,0,0,0,358,2.21,211,100290
20160107:2000,13.6,88.9,0,0,0,350.2,1.86,198,100280
20160107:2100,13.31,90.05,0,0,0,352.4,1.72,186,100270
20160107:2200,12.75,92.15,0,0,0,338,1.72,173,100231
20160107:2300,12.22,93.45,0,0,0,330.4,1.86,173,100191
20160108:0000,11.83,93.95,0,0,0,322,2.07,184,100162
20160108:0100,11.9,93.6,0,0,0,332.85,2.21,196,100123
20160108:0200,12.07,93.35,0,0,0,344.6,2.34,200,100083
20160108:0300,12.15,93.25,0,0,0,348.8,2.48,195,100064
20160108:0400,12.01,93.55,0,0,0,342,2.41,188,99985
20160108:0500,11.93,93.5,0,0,0,347.6,2.34,185,99965
20160108:0600,11.43,94.9,0,0,0,330,2.34,182,99906
20160108:0700,11.8,93.1,0,0,0,324.6,2.48,182,99916
20160108:0800,11.87,92.65,56,341.52,26,323,2.76,181,99887
20160108:0900,12.94,88.9,220,632.84,62,321.6,2.76,186,99926
20160108:1000,14.51,80.55,318,461.85,143,320.4,4.07,194,99936
20160108:1100,15.86,70.35,450,709.14,119,324.4,5.24,205,99887
20160108:1200,17.22,62,355,207,250,327.2,6.07,214,99808
20160108:1300,17.55,61.2,241,34.17,224,339.8,6.07,219,99739
20160108:1400,17.63,62.7,271,130.01,214,346.4,5.93,223,99621
20160108:1500,17.44,66.05,128,11.98,124,364,4.9,224,99582
20160108:1600,16.99,69.85,49,0,49,358.2,4.07,221,99523
20160108:1700,16.14,75.1,0,0,0,344.6,4.07,217,99533
20160108:1800,15.15,82.1,0,0,0,338.6,3.86,208,99533
20160108:1900,14.53,87.65,0,0,0,353.6,3.79,207,99513
20160108:2000,14.4,90.55,0,0,0,364.2,4.07,208,99513
20160108:2100,14.25,92.85,0,0,0,356.8,3.93,208,99494
20160108:2200,14.3,93.2,0,0,0,370.8,4.48,212,99445
20160108:2300,14.24,90.25,0,0,0,365.8,4.76,217,99445
20160109:0000,13.85,92,0,0,0,354,4.14,214,99435
20160109:0100,13.51,93.05,0,0,0,360.65,4.34,214,99396
20160109:0200,13.47,93.35,0,0,0,368.6,4.41,216,99356
20160109:0300,13.55,94.75,0,0,0,374,4.62,217,99337
20160109:0400,13.71,95.6,0,0,0,378.4,4.69,217,99307
20160109:0500,13.76,94.95,0,0,0,377.6,4.28,219,99297
20160109:0600,13.26,97.7,0,0,0,379,3.45,223,99327
20160109:0700,13.4,96.8,0,0,0,377.4,2.97,247,99425
20160109:0800,13.06,98.35,53,271.74,29,364.4,2.21,261,99484
20160109:0900,13.13,97.55,129,75.85,110,348.6,2.07,264,99602
20160109:1000,13.55,93.4,315,439.34,148,348.4,2.48,264,99720
20160109:1100,14.01,88,485,905.3,61,345.6,3.17,260,99818
20160109:1200,14.4,81.25,526,879.81,78,330.8,3.59,259,99838
20160109:1300,14.82,70.15,310,124.03,248,301.2,3.93,260,99818
20160109:1400,15.06,57.6,185,15.87,178,294.4,4.07,260,99808
20160109:1500,15.12,53.95,281,481.29,119,288.4,4.34,262,99877
20160109:1600,14.9,55,124,227.07,80,296.4,4.28,260,99916
20160109:1700,14.34,59.85,0,0,0,328,3.38,241,99985
20160109:1800,13.57,64.65,0,0,0,323.8,3.03,221,100005
20160109:1900,13.4,71.1,0,0,0,327.6,3.24,218,100054
20160109:2000,13.03,72.65,0,0,0,320,3.17,211,100093
20160109:2100,12.75,73.5,0,0,0,319.6,3.17,204,100083
20160109:2200,12.59,73.9,0,0,0,318.8,3.24,200,100103
20160109:2300,12.31,75.25,0,0,0,309.4,3.31,197,100093
20160110:0000,12.09,76.65,0,0,0,303.6,3.31,198,100024
20160110:0100,11.76,78.7,0,0,0,291.6,3.45,199,99965
20160110:0200,11.75,79.35,0,0,0,295.6,3.66,200,99946
20160110:0300,12.19,77.85,0,0,0,316.2,3.79,203,99946
20160110:0400,12.34,77.65,0,0,0,315.4,3.66,204,99897
20160110:0500,12.49,77.45,0,0,0,324.6,3.59,204,99877
20160110:0600,12.64,77.15,0,0,0,329,3.72,204,99877
20160110:0700,12.69,86.25,0,0,0,330.2,3.79,204,99877
20160110:0800,12.95,86.05,57,359.96,25,338.6,3.86,208,99897
